story,posneg,year_occurred,month_occurred,how_old,tech_type,person_involved,tech_savvy,id
When sleeping through Algebra I class from boredom my teacher taught me how to program a TI-82 calculator to help with homework and keep me busy/not sleeping.,positive,2009,1,16,website,family,,170
Having an idea of a solution come to life. During college, we developed a software program that a non-profit org. benefitted from to improve their operations. Great team building and learning experience.,positive,2009,1,23,website,family,,171
Making and editing a video that made people laugh,positive,2009,1,22,website,family,,172
When I was starting in college, my friends in computer science got to have email accounts and stay in contact - no one else did. It was cool and I wanted it too.,positive,2009,1,20,website,family,,173
Made first website for friend's business,positive,2009,1,20,website,family,,174
Gave up learning to program,negative,2009,1,18,website,family,,175
Male classmates: "You only got internship X / position Y b/c you're a girl" (common statement),negative,2009,1,18,website,family,,176
Not job but in school was only woman in CS program. Tutor (male) said to me, "I don't get why you don't understand. It's so easy.",negative,2009,1,19,website,family,,177
I &heart; turn-based strategy games!!!,positive,2009,1,13,website,family,,178
Trying to set up a poorly documented TV/VCR system,negative,2009,1,16,website,family,,179
When I first started developing websites in MS-DOS Edit!,positive,2009,1,16,website,family,,180
First "real" software internship (@ video game co.),positive,2009,1,16,website,family,,181
My first "hack". I was in jr. high when my dad got us our first computer. We also got a few disks of games (shareware) written in BASIC. One game I could never win so I went through the code and found a bug that prevented us from moving forward. After fixing it, I beat the game and wanted to do this for the rest of my life.,positive,2009,1,13,website,family,,182
Being excited by the prospect & intention I had to learn HTML & make things myself. (Even though I still haven't learned.),positive,2009,1,13,website,family,,183
Hostile, evil trolls + unwanted "hey wanna cyber" requests @ age 12,negative,2009,1,12,website,family,,184
Making little monsters with electronic textiles makes me happy!,positive,2009,1,52,website,family,,185
Last week my printer stopped feeding paper. There's no support to fix or diagnose the fault - they want you to throw it away and buy another.,negative,2009,1,50,website,family,,186
